label,user_id,user_screen_name,user_screen_name_length,user_screen_name_entropy,days_since_creation,has_location,has_description,description_length,description_entropy,has_url,has_utc_offset,has_time_zone,has_lang,contributors_enabled,is_translator,is_translation_enabled,profile_use_background_image,has_extended_profile,default_profile,default_profile_image,favourites_count,followers_count,friends_count,followers_to_friends_ratio,geo_enabled,listed_count,protected,statuses_count,verified,unique_hashtags,avg_hashtags_per_post,hashtags_to_tweets_ratio,unique_languages,unique_sources,source_adv_ratio,source_android_ratio,source_blackberry_ratio,source_ipad_ratio,source_iphone_ratio,source_mac_ratio,source_websites_ratio,source_windows_ratio,source_non_std_ratio,unique_emojis,emoji_ratio,unique_places,places_ratio,top1_place_ratio,top2_place_ratio,top3_place_ratio,duplicate_tweets,duplicate_tweets_ratio,duplicate_replies,duplicate_replies_ratio,min_tweet_length,avg_tweet_length,max_tweet_length,min_tweet_entropy,avg_tweet_entropy,max_tweet_entropy,avg_retweet_count,avg_favorite_count,min_retweet_length,avg_retweet_length,max_retweet_length,min_retweet_entropy,avg_retweet_entropy,max_retweet_entropy,retweets_average_reaction_time,retweets_count,retweets_to_tweets_ratio,self_retweets_count,self_retweets_to_tweets_ratio,top1_rt_count,top2_rt_count,top3_rt_count,top4_rt_count,top5_rt_count,min_reply_length,avg_reply_length,max_reply_length,min_reply_entropy,avg_reply_entropy,max_reply_entropy,replies_count,replies_to_tweets_ratio,self_replies_count,self_replies_to_tweets_ratio,tweets_avg_delta_t,tweets_per_hour_of_day_0,tweets_per_hour_of_day_1,tweets_per_hour_of_day_2,tweets_per_hour_of_day_3,tweets_per_hour_of_day_4,tweets_per_hour_of_day_5,tweets_per_hour_of_day_6,tweets_per_hour_of_day_7,tweets_per_hour_of_day_8,tweets_per_hour_of_day_9,tweets_per_hour_of_day_10,tweets_per_hour_of_day_11,tweets_per_hour_of_day_12,tweets_per_hour_of_day_13,tweets_per_hour_of_day_14,tweets_per_hour_of_day_15,tweets_per_hour_of_day_16,tweets_per_hour_of_day_17,tweets_per_hour_of_day_18,tweets_per_hour_of_day_19,tweets_per_hour_of_day_20,tweets_per_hour_of_day_21,tweets_per_hour_of_day_22,tweets_per_hour_of_day_23,tweets_per_weekday_23,tweets_per_month_1,tweets_per_month_2,tweets_per_month_3,tweets_per_month_4,tweets_per_month_5,tweets_per_month_6,tweets_per_month_7,tweets_per_month_8,tweets_per_month_9,tweets_per_month_10,tweets_per_month_11,tweets_per_month_12,replies_avg_delta_t,replies_per_hour_of_day_0,replies_per_hour_of_day_1,replies_per_hour_of_day_2,replies_per_hour_of_day_3,replies_per_hour_of_day_4,replies_per_hour_of_day_5,replies_per_hour_of_day_6,replies_per_hour_of_day_7,replies_per_hour_of_day_8,replies_per_hour_of_day_9,replies_per_hour_of_day_10,replies_per_hour_of_day_11,replies_per_hour_of_day_12,replies_per_hour_of_day_13,replies_per_hour_of_day_14,replies_per_hour_of_day_15,replies_per_hour_of_day_16,replies_per_hour_of_day_17,replies_per_hour_of_day_18,replies_per_hour_of_day_19,replies_per_hour_of_day_20,replies_per_hour_of_day_21,replies_per_hour_of_day_22,replies_per_hour_of_day_23,replies_per_weekday_23,replies_per_month_1,replies_per_month_2,replies_per_month_3,replies_per_month_4,replies_per_month_5,replies_per_month_6,replies_per_month_7,replies_per_month_8,replies_per_month_9,replies_per_month_10,replies_per_month_11,replies_per_month_12,retweets_avg_delta_t,retweets_per_hour_of_day_0,retweets_per_hour_of_day_1,retweets_per_hour_of_day_2,retweets_per_hour_of_day_3,retweets_per_hour_of_day_4,retweets_per_hour_of_day_5,retweets_per_hour_of_day_6,retweets_per_hour_of_day_7,retweets_per_hour_of_day_8,retweets_per_hour_of_day_9,retweets_per_hour_of_day_10,retweets_per_hour_of_day_11,retweets_per_hour_of_day_12,retweets_per_hour_of_day_13,retweets_per_hour_of_day_14,retweets_per_hour_of_day_15,retweets_per_hour_of_day_16,retweets_per_hour_of_day_17,retweets_per_hour_of_day_18,retweets_per_hour_of_day_19,retweets_per_hour_of_day_20,retweets_per_hour_of_day_21,retweets_per_hour_of_day_22,retweets_per_hour_of_day_23,retweets_per_weekday_23,retweets_per_month_1,retweets_per_month_2,retweets_per_month_3,retweets_per_month_4,retweets_per_month_5,retweets_per_month_6,retweets_per_month_7,retweets_per_month_8,retweets_per_month_9,retweets_per_month_10,retweets_per_month_11,retweets_per_month_12
bot,171920075,dealoftheday123,15,3.5068905956085183,3688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,27409,525,1978,0.2654196157721668,0.0,2,0.0,51050,0.0,60,0.715,0.0011753183153768512,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.8,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,42,128.36410256410255,151,4.174868310885753,4.641487612697702,5.276336231567434,3123522.087179487,195,0.003819784524974766,0,0.0,18,15,5,5,5,33,67.2,115,4.294080429526044,4.793589916626584,0,5,9.794319294807093e-05,3.984829508503261,7.80573850833003e-05,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,518.0,0,0,0,0,0,0,15,35,0,16,0,0,20,0,41,0,26,0,33,9,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0
bot,1226810225413373953,analyst_aayush,14,2.950212064914748,205,0.0,1.0,158,4.402435298343746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2788,52,165,0.31515151513241507,0.0,0,0.0,1936,0.0,56,0.375,0.028925619834561336,6,2,0.0,0.7445255474452555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.021897810218978103,0,0.0,0.0,0.0,0.0,0,0.0,32,0.25196850391716785,64,117.7,140,3.941046082384874,4.735272010672622,5.162049306497849,0.0,0.3,38,126.33333333333333,152,4.250343796939021,4.663398221105834,5.453076410647065,696891.9523809524,63,0.0325413223138815,0,0.0,3,3,2,2,2,27,102.22047244094489,144,4.5430752424454335,5.119599438136601,4,127,0.06559917355338017,3.736006946447657,0.00192975565414688,220406.3,0,0,0,2,0,0,2,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,8,0,0,0,0,19739.30708661417,0,0,0,4,7,15,2,7,4,14,15,3,3,3,2,8,5,7,5,12,7,4,0,0,30,0,0,0,0,0,0,46,81,0,0,0,0,38976.0,0,0,0,0,4,5,1,4,2,2,5,2,3,6,0,4,3,2,7,7,6,0,0,0,19,0,0,0,0,0,0,20,43,0,0,0,0
bot,806063650360397824,akashgupta_03,13,3.334679141051595,1366,1.0,1.0,47,3.8917169810729324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1081,20,53,0.377358490494838,1.0,0,0.0,282,0.0,2,0.14285714285714285,0.007092198581308787,4,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.2857142857142857,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,107,131.25,140,4.38898212527195,4.781607113953077,5.044883343117872,0.0,0.25,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,33,81.6,140,4.371093596670882,4.773145023133966,0,10,0.035460992906543934,3.844732479339146,0.013633803117740454,86834.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,202905.6,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bot,1222089047759376384,abemgeta,8,2.5,218,1.0,1.0,59,4.027303693725767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,184,4,62,0.06451612902185223,0.0,0,0.0,85,0.0,0,0.0,0.0,3,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.38461538461538464,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,34,104.33333333333333,140,3.7855610028241506,4.242113816032349,4.532096208470858,0.0,0.3333333333333333,75,107.5,140,4.635756426892805,4.695589082486292,4.755421738079778,75121.0,2,0.023529411761937718,0,0.0,1,1,0.0,0.0,0.0,22,86.8,140,4.247849323823523,4.691239837518151,0,10,0.11764705880968859,3.8796640049025934,0.045643105934660734,546118.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,184688.3,0,0,0,0,1,1,1,0,0,1,0,0,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,3,7,0,0,0,0,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
bot,2703452831,clericinico,11,2.59490661824394,2243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,12,23,198,0.11616161615574941,0.0,0,0.0,187,0.0,21,1.6096256684491979,0.11229946523463638,7,5,0.0,0.0,0.0,0.0,0.022099447513812154,0.0,0.0,0.0,0.7900552486187845,0,0.0,0,0.0,0.0,0.0,0.0,76,0.5205479451698255,2,0.05714285712653061,23,110.68493150684931,148,3.5569010760354054,4.483683356584246,5.313760951895905,0.0136986301369863,0.00684931506849315,50,114.66666666666667,140,4.540077818035725,4.725316262223324,4.997021610850759,129109.16666666667,6,0.0320855614956104,0,0.0,1,1,1,1,1,23,63.51428571428571,135,3.9958933466319024,4.507583276287295,0,35,0.18716577539106063,2.488181248437902,0.013305782076496492,1135280.4383561644,0,0,0,0,0,0,1,2,3,3,4,5,3,5,6,14,17,13,17,16,22,9,4,2,1,0,128,5,8,1,0,3,0,0,1,0,0,1150594.2285714287,0,0,0,0,0,1,2,1,6,0,1,3,0,0,3,2,0,1,1,8,5,0,1,0,7,0,0,0,0,0,0,21,3,8,3,0,0,20411433.333333332,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,1,0,4,1,0,0,0,0
bot,1242201158145445888,7rezz4,6,2.251629167387823,162,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,227,33,62,0.5322580644302809,0.0,0,0.0,234,0.0,2,0.1,0.00854700854664329,2,2,0.0,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,31,106.0,140,3.6553362295323453,4.378172018721708,4.788679769075433,0.0,0.5789473684210527,140,140.0,140,4.644762772442534,4.644762772442534,4.644762772442534,742302.0,1,0.004273504273321645,0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,131692.68421052632,0,0,0,0,0,0,0,4,0,0,2,2,1,1,3,1,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,8,11,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bot,1218893553260212231,antony23832972,14,3.182005814760214,226,1.0,1.0,37,3.8819015959326326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4537,556,1614,0.3444857496880763,0.0,0,0.0,5050,0.0,13,0.22,0.002574257425737477,10,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,164,0.9590643274292945,0,0.0,28,87.51461988304094,140,4.0472990984266435,4.578959094134111,4.939364347764173,0.029239766081871343,0.17543859649122806,140,142.0,144,4.377974663492955,4.434521391975148,4.4910681204573395,24867.5,2,0.0003960396039596118,0,0.0,1,1,0.0,0.0,0.0,20,84.81481481481481,140,4.285593406323598,4.739298111138754,4,27,0.005346534653454759,3.6769648867289004,0.0007281118587567563,8613.631578947368,0,0,0,1,0,2,16,6,16,26,4,8,1,16,7,2,5,22,24,8,7,0,0,0,28,0,0,0,0,0,0,0,171,0,0,0,0,54495.2962962963,0,0,0,1,0,0,2,0,2,0,0,0,1,3,3,0,1,7,4,2,1,0,0,0,3,0,0,0,0,0,0,0,27,0,0,0,0,243547.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
bot,104800898,arzanita,8,2.4056390622295662,3884,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,7,30,152,0.1973684210396468,0.0,0,0.0,5353,0.0,0,0.0,0.0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0.03,0,0.0,0.0,0.0,0.0,6,0.029999999998499997,0,0,9,36.97,140,1.0,3.9294061842519166,4.999567856063195,0.0,0.005,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,37393.505,0,0,0,0,1,2,12,7,6,9,10,20,11,10,8,10,16,12,24,17,17,7,1,0,26,0,3,85,64,48,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bot,1214538194055811072,73_pinky,8,3.0,238,0.0,1.0,137,4.50929055347014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4257,702,756,0.9285714285591459,0.0,0,0.0,3518,0.0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,82.0,140,4.207435516759525,4.449218883700217,4.7037148589356885,84468.0,3,0.0008527572484341877,0,0.0,1,1,1,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174313.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
bot,121325178,banibaby97,10,2.6464393446710157,3830,1.0,1.0,14,3.3787834934861767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16,12,79,0.15189873415798752,1.0,0,0.0,83,0.0,5,1.1428571428571428,0.06024096384816374,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,135.14285714285714,140,4.447599370827869,4.5915229408671845,4.793022941720965,209629.14285714287,7,0.08433734938742925,0,0.0,2,1,1,1,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48827.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0
